epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31560.8,0.56404,0.58393,1.04782,0.24027,0.35796,0.27346,0.1394,2.11852,2.58337,2.10106,0.00019293,0.00019293,0.00019293
43,32173.4,0.56288,0.57645,1.04647,0.24539,0.3497,0.26843,0.13726,2.11129,2.65847,2.08484,0.00018843,0.00018843,0.00018843
44,32776.5,0.5591,0.57333,1.04453,0.23248,0.32877,0.26533,0.13586,2.12373,2.66015,2.10055,0.000183894,0.000183894,0.000183894
45,33380.3,0.5517,0.56385,1.04166,0.21381,0.3372,0.24727,0.13756,2.13047,2.631,2.10546,0.000179326,0.000179326,0.000179326
46,33984.9,0.54667,0.56179,1.03924,0.20139,0.33394,0.24718,0.13832,2.14429,2.65277,2.12711,0.000174731,0.000174731,0.000174731
47,34589.2,0.5364,0.53706,1.03116,0.21714,0.3352,0.24694,0.13535,2.15835,2.70985,2.14724,0.000170112,0.000170112,0.000170112
48,35192.8,0.54008,0.54358,1.03416,0.25005,0.31413,0.26888,0.13899,2.17086,2.71259,2.16299,0.000165475,0.000165475,0.000165475
49,35798,0.53685,0.53848,1.03423,0.21882,0.29425,0.24899,0.13892,2.17402,2.73927,2.17828,0.000160824,0.000160824,0.000160824
50,36406,0.52685,0.53307,1.02759,0.2465,0.32118,0.26865,0.13826,2.17504,2.77607,2.17774,0.000156164,0.000156164,0.000156164
51,37008.3,0.52306,0.52489,1.02756,0.22669,0.29439,0.25009,0.13677,2.17169,2.79364,2.17946,0.0001515,0.0001515,0.0001515
52,37610.5,0.51797,0.51155,1.0214,0.23346,0.29196,0.24874,0.1357,2.16702,2.78306,2.16568,0.000146836,0.000146836,0.000146836
53,38213.2,0.51391,0.5085,1.02156,0.21355,0.2922,0.2525,0.1369,2.17833,2.78878,2.17356,0.000142176,0.000142176,0.000142176
54,38818.9,0.51178,0.50456,1.0157,0.21495,0.28523,0.24639,0.13533,2.18429,2.7826,2.17627,0.000137525,0.000137525,0.000137525
55,39427,0.51009,0.50518,1.01795,0.23037,0.27999,0.26074,0.13603,2.18311,2.77029,2.18307,0.000132888,0.000132888,0.000132888
56,40034.1,0.49855,0.48414,1.00998,0.23276,0.27927,0.2592,0.13624,2.17935,2.78238,2.17814,0.000128269,0.000128269,0.000128269
57,40640.8,0.49852,0.48696,1.01083,0.23428,0.27659,0.26119,0.13537,2.18414,2.80306,2.18696,0.000123674,0.000123674,0.000123674
58,41320.7,0.50099,0.48133,1.01114,0.22982,0.27442,0.26308,0.13502,2.1861,2.81338,2.19067,0.000119106,0.000119106,0.000119106
