epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22545.8,0.49257,0.449,0.96112,0.55969,0.30723,0.33487,0.22199,1.47728,2.23114,2.03434,0.000248533,0.000248533,0.000248533
43,23055.5,0.47815,0.43621,0.95085,0.58789,0.30396,0.33824,0.22425,1.47333,2.19749,2.0521,0.000246157,0.000246157,0.000246157
44,23596,0.46447,0.4245,0.94205,0.59051,0.31117,0.34764,0.22957,1.4793,2.15281,2.06682,0.00024374,0.00024374,0.00024374
45,24167.2,0.46076,0.4188,0.93917,0.58868,0.28917,0.32395,0.21847,1.5008,2.26337,2.0844,0.000241283,0.000241283,0.000241283
46,24687.7,0.45796,0.41404,0.93671,0.45848,0.3275,0.33594,0.22383,1.46424,2.20859,2.0515,0.000238786,0.000238786,0.000238786
47,25217.6,0.44437,0.40493,0.92806,0.52725,0.31744,0.33715,0.22679,1.47201,2.21565,2.07462,0.000236251,0.000236251,0.000236251
48,25745.4,0.43425,0.39821,0.92112,0.51657,0.32893,0.34196,0.2261,1.4716,2.13777,2.10583,0.000233679,0.000233679,0.000233679
49,26277.3,0.43375,0.39542,0.92092,0.53312,0.3215,0.33551,0.22085,1.48979,2.19753,2.09311,0.00023107,0.00023107,0.00023107
50,26910.6,0.42459,0.38585,0.91474,0.55524,0.31162,0.34097,0.22582,1.4618,2.15064,2.07998,0.000228427,0.000228427,0.000228427
51,27432.6,0.40683,0.37748,0.90507,0.54105,0.30733,0.3349,0.22383,1.45758,2.20297,2.08375,0.00022575,0.00022575,0.00022575
52,27949.3,0.40045,0.36669,0.89936,0.56425,0.295,0.3263,0.21862,1.45991,2.1699,2.12078,0.00022304,0.00022304,0.00022304
53,28469,0.39626,0.36563,0.89809,0.49903,0.32274,0.33181,0.22309,1.44451,2.13476,2.09509,0.000220299,0.000220299,0.000220299
54,28988.4,0.39381,0.36227,0.89611,0.49538,0.32672,0.33323,0.2237,1.45509,2.14999,2.09276,0.000217528,0.000217528,0.000217528
55,29508.9,0.38884,0.35794,0.89238,0.48453,0.33794,0.34067,0.2261,1.43527,2.09114,2.08898,0.000214728,0.000214728,0.000214728
56,30162.6,0.37872,0.35018,0.88787,0.49478,0.33538,0.34096,0.22814,1.44264,2.10152,2.11404,0.0002119,0.0002119,0.0002119
57,722.106,0.33932,0.32452,0.8658,0.52899,0.32314,0.33175,0.222,1.45699,2.22826,2.13391,0.000209046,0.000209046,0.000209046
58,1719.07,0.36371,0.33163,0.87559,0.50157,0.32805,0.33507,0.22394,1.45733,2.22022,2.16067,0.000206166,0.000206166,0.000206166
59,3702.82,0.35906,0.33065,0.87385,0.47274,0.32813,0.33288,0.2242,1.46356,2.20843,2.15781,0.000203263,0.000203263,0.000203263
60,5397.88,0.35445,0.32936,0.87198,0.48297,0.32467,0.32866,0.22315,1.45653,2.18577,2.1681,0.000200337,0.000200337,0.000200337
61,8496.98,0.35151,0.32629,0.86956,0.56629,0.30664,0.32444,0.2225,1.45106,2.23109,2.16634,0.000197389,0.000197389,0.000197389
62,11387.5,0.34016,0.31697,0.8628,0.50714,0.32463,0.32874,0.2242,1.44052,2.17791,2.1462,0.000194421,0.000194421,0.000194421
63,12804.3,0.33331,0.30674,0.85841,0.52789,0.32819,0.33201,0.2237,1.43548,2.1595,2.14621,0.000191435,0.000191435,0.000191435
64,14645.9,0.33171,0.30578,0.857,0.5379,0.31927,0.32999,0.22286,1.43494,2.15796,2.15602,0.00018843,0.00018843,0.00018843
65,17351.7,0.32407,0.30039,0.85313,0.59875,0.30528,0.33256,0.2242,1.43695,2.15052,2.16918,0.00018541,0.00018541,0.00018541
66,22930.7,0.31719,0.29748,0.85106,0.53048,0.32385,0.32916,0.22104,1.43889,2.16144,2.16778,0.000182375,0.000182375,0.000182375
67,27740.2,0.31535,0.29495,0.84902,0.52782,0.32132,0.32809,0.22319,1.43881,2.11643,2.17045,0.000179326,0.000179326,0.000179326
